sample,fold,panel,spotset,caliber,k,n_spots,rnbr_med,rnbr_mean,rnbr_q25,rnbr_q75
INT20,4,hest_var50,all,log1p_raw,6,4860,0.3034465491104147,0.31996857543902946,0.19726484722923843,0.41632438258925086
INT20,4,hest_var50,all,cp10k_panel,6,4860,0.21111976244531616,0.21883613992026227,0.14585838363237752,0.27369188528892535
INT20,4,hest_var50,all,cp10k_full,6,4860,0.15432114970358796,0.19114254449464446,0.09290085140390589,0.26916131257815695
INT19,5,hest_var50,all,log1p_raw,6,4948,0.25573079881165117,0.2798248316007745,0.1916666973196184,0.330160230247576
INT19,5,hest_var50,all,cp10k_panel,6,4948,0.18529983884588366,0.20195768295929917,0.13656326466184499,0.2434583391586238
INT19,5,hest_var50,all,cp10k_full,6,4948,0.10535861079333089,0.12846772635770345,0.06333070111591448,0.14499668185016906
INT18,5,hest_var50,all,log1p_raw,6,4915,0.45990995267588664,0.5019583575236333,0.3489327537033812,0.6250756065725918
INT18,5,hest_var50,all,cp10k_panel,6,4915,0.3180314846822204,0.3414815926958916,0.24429717567293882,0.42802163597515197
INT18,5,hest_var50,all,cp10k_full,6,4915,0.18363971455908557,0.2115882054128736,0.10895717649631768,0.29707487515206576
INT17,5,hest_var50,all,log1p_raw,6,3585,0.2772162446498453,0.30274342370990404,0.19785084707827255,0.3840563679554754
INT17,5,hest_var50,all,cp10k_panel,6,3585,0.20364926875313344,0.2150442319489188,0.14555116551205777,0.2664481928468995
INT17,5,hest_var50,all,cp10k_full,6,3585,0.12608647594903705,0.15124866117667216,0.07555470660522232,0.18216725218653698
INT16,5,hest_var50,all,log1p_raw,6,3206,0.23330881599601738,0.25630416166997616,0.16511496448720533,0.30980937039491446
INT16,5,hest_var50,all,cp10k_panel,6,3206,0.13729064870040586,0.1467812842667313,0.08853903109365599,0.17871356487406462
INT16,5,hest_var50,all,cp10k_full,6,3206,0.10332420860326902,0.1316669661084432,0.043672764569996796,0.1755995770854484
INT24,0,trainHVG737,all,log1p_raw,6,4510,0.5110571539545449,0.5229072862319128,0.42691247435546525,0.6253868989649837
INT24,0,trainHVG737,all,cp10k_panel,6,4510,0.21623345640156733,0.25344256176569746,0.1562402818854099,0.3187216232668601
INT24,0,trainHVG737,all,cp10k_full,6,4510,0.1820602831896784,0.2354410662912411,0.10999525883839496,0.3117223877658265
INT15,0,trainHVG737,all,log1p_raw,6,4940,0.24596318339198356,0.28574301988380935,0.14306781652182782,0.382016345753231
INT15,0,trainHVG737,all,cp10k_panel,6,4940,0.1234522819320222,0.15565441667925353,0.06791555676308568,0.2089606513585409
INT15,0,trainHVG737,all,cp10k_full,6,4940,0.09886583880806366,0.1397650794776928,0.04656178370857836,0.19432157507817785
INT14,0,trainHVG737,all,log1p_raw,6,4562,0.24579682330560998,0.2863620682528528,0.16302072362869538,0.37243240695759955
INT14,0,trainHVG737,all,cp10k_panel,6,4562,0.12153572651775607,0.15925378147475822,0.07301716354092108,0.20963447413680847
INT14,0,trainHVG737,all,cp10k_full,6,4562,0.103670064504957,0.1486148205293937,0.053875160448386944,0.19788940906785252
INT13,0,trainHVG737,all,log1p_raw,6,4359,0.38986596717386185,0.41476862698280703,0.28512443974492724,0.5270503678129068
INT13,0,trainHVG737,all,cp10k_panel,6,4359,0.19886672868977548,0.2232084944575018,0.13721587699475515,0.28776241019264953
INT13,0,trainHVG737,all,cp10k_full,6,4359,0.13844065949041062,0.18119234180099691,0.08200790896528475,0.24436674754521015
INT12,1,trainHVG737,all,log1p_raw,6,1451,0.2627593772428019,0.2994719868514599,0.16605205006272808,0.4053892081413111
INT12,1,trainHVG737,all,cp10k_panel,6,1451,0.11876047298072365,0.17217951701431594,0.06108624571974839,0.23475439582254917
INT12,1,trainHVG737,all,cp10k_full,6,1451,0.11847600962759391,0.18187966524617905,0.05066057001938333,0.2611519621199578
INT11,1,trainHVG737,all,log1p_raw,6,1439,0.3888862525704575,0.4113545572186161,0.30322458464834257,0.48298621654083596
INT11,1,trainHVG737,all,cp10k_panel,6,1439,0.10612361875040267,0.1307119668527846,0.06353550845413056,0.1585308389933034
INT11,1,trainHVG737,all,cp10k_full,6,1439,0.08330395261854684,0.11876487232034841,0.0351027283195543,0.14863132608825683
INT10,1,trainHVG737,all,log1p_raw,6,1983,0.7606883481929952,0.7422411550556666,0.6546103146831465,0.8463457131923214
INT10,1,trainHVG737,all,cp10k_panel,6,1983,0.42750132936033136,0.42226660330528687,0.33988443933548795,0.5056011720914962
INT10,1,trainHVG737,all,cp10k_full,6,1983,0.25905392590976256,0.2769672946033505,0.17250707787168054,0.3620389838922268
