sample,spotset,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
TENX111,all,hest_var50,cp10k_panel,1.622838009961258,0.4959761068136317,0.311810123476043,-0.1841659833375887,1
TENX111,all,hest_var50,log1p_raw,1.622838009961258,0.4959761068136317,0.3980279729846159,-0.0979481338290158,1
TENX111,all,trainHVG737,cp10k_panel,1.622838009961258,0.4959761068136317,0.25257612101615196,-0.24339998579747973,1
TENX111,all,trainHVG737,log1p_raw,1.622838009961258,0.4959761068136317,0.4953874425747552,-0.0005886642388764907,1
TENX147,all,hest_var50,cp10k_panel,1.6907133978605664,0.5154804631012627,0.29950987386164807,-0.21597058923961465,1
TENX147,all,hest_var50,log1p_raw,1.6907133978605664,0.5154804631012627,0.41725938816318325,-0.09822107493807947,1
TENX147,all,trainHVG737,cp10k_panel,1.6907133978605664,0.5154804631012627,0.31216822480079526,-0.20331223830046746,1
TENX147,all,trainHVG737,log1p_raw,1.6907133978605664,0.5154804631012627,0.5607343552552846,0.04525389215402187,1
TENX148,all,hest_var50,cp10k_panel,1.69657080933296,0.5171636216631011,0.3964988928849513,-0.12066472877814982,1
TENX148,all,hest_var50,log1p_raw,1.69657080933296,0.5171636216631011,0.5662674071396289,0.04910378547652772,1
TENX148,all,trainHVG737,cp10k_panel,1.69657080933296,0.5171636216631011,0.3623780655317794,-0.15478555613132172,1
TENX148,all,trainHVG737,log1p_raw,1.69657080933296,0.5171636216631011,0.640368029593457,0.12320440793035581,1
TENX149,all,hest_var50,cp10k_panel,1.576271502647448,0.48259497150334074,0.2664722399465385,-0.21612273155680223,1
TENX149,all,hest_var50,log1p_raw,1.576271502647448,0.48259497150334074,0.37151245998546,-0.11108251151788073,1
TENX149,all,trainHVG737,cp10k_panel,1.576271502647448,0.48259497150334074,0.2833508449991944,-0.19924412650414636,1
TENX149,all,trainHVG737,log1p_raw,1.576271502647448,0.48259497150334074,0.491955140745939,0.009360169242598249,1
TENX111,official,hest_var50,cp10k_panel,0.6095143746415773,0.20479213233274274,0.0983326823611059,-0.10645944997163684,0
TENX111,official,hest_var50,log1p_raw,0.6095143746415773,0.20479213233274274,0.27142384182915297,0.06663170949641023,0
TENX111,official,trainHVG737,cp10k_panel,0.6095143746415773,0.20479213233274274,0.07637085654551612,-0.12842127578722662,0
TENX111,official,trainHVG737,log1p_raw,0.6095143746415773,0.20479213233274274,0.2373028056018568,0.032510673269114054,0
TENX147,official,hest_var50,cp10k_panel,0.9640541265675922,0.306671029142168,0.1310208838131553,-0.17565014532901269,0
TENX147,official,hest_var50,log1p_raw,0.9640541265675922,0.306671029142168,0.35750488114836476,0.05083385200619678,0
TENX147,official,trainHVG737,cp10k_panel,0.9640541265675922,0.306671029142168,0.09180180967824997,-0.21486921946391802,0
TENX147,official,trainHVG737,log1p_raw,0.9640541265675922,0.306671029142168,0.4333408126344602,0.12666978349229224,0
TENX148,official,hest_var50,cp10k_panel,0.7631337347447728,0.24893547832106322,0.07839431439891567,-0.17054116392214755,0
TENX148,official,hest_var50,log1p_raw,0.7631337347447728,0.24893547832106322,0.41810857848005223,0.169173100158989,0
TENX148,official,trainHVG737,cp10k_panel,0.7631337347447728,0.24893547832106322,0.07304707076065385,-0.17588840756040935,0
TENX148,official,trainHVG737,log1p_raw,0.7631337347447728,0.24893547832106322,0.42834905736023543,0.1794135790391722,0
TENX149,official,hest_var50,cp10k_panel,0.8364239846537388,0.2699958242118978,0.08853306617017737,-0.1814627580417204,0
TENX149,official,hest_var50,log1p_raw,0.8364239846537388,0.2699958242118978,0.29010316407973313,0.02010733986783536,0
TENX149,official,trainHVG737,cp10k_panel,0.8364239846537388,0.2699958242118978,0.05535229271791722,-0.21464353149398055,0
TENX149,official,trainHVG737,log1p_raw,0.8364239846537388,0.2699958242118978,0.35462906728706173,0.08463324307516396,0
