section,gene,n_spot,r_full,dg,crg,drg
A1,ACTG1,345,0.36499505535421545,0.328320462201277,0.19753846465243086,0.19649809956616673
A1,ACTN4,345,0.031021004307984712,0.02838128416457318,0.042671858254316644,0.039876148600430435
A1,AES,345,-0.062253875070854434,-0.10688759987883502,-0.06043321970074061,-0.07769700040519238
A1,ALDOA,345,0.008868797403417582,0.04541961479362486,-0.0037071643032900747,0.016008128685399248
A1,AP000769.1,345,0.046192373124649744,0.04959469097298109,0.1288341102766332,0.13777345384512024
A1,APOE,345,0.03391465937652952,0.014153480675554667,-0.0056141945711786255,-0.026481710399737797
A1,ATP1A1,345,0.03832416752734438,-0.021023410860652677,-0.059778199427683525,-0.07049475379472828
A1,ATP6V0B,345,-0.013426445039409795,-0.04655010822758398,-0.053351809098351764,-0.07326633332661227
A1,B2M,345,0.10952573052789262,0.07279193063019755,0.1283195981852615,0.12815342118467135
A1,BEST1,345,0.15039599007187057,0.14118412725811358,0.1349163794503714,0.15102891795776846
A1,C12orf57,345,0.16221716902824712,0.20037959284480655,0.0875864887761155,0.1068763886633793
A1,CD74,345,0.20914941251092678,0.2611755404902545,0.15924374251220932,0.1818653503971403
A1,CD81,345,0.07912523482537984,0.08921643439570465,0.0772658024167488,0.08205463333762374
A1,CHCHD2,345,0.1592037261278157,0.09099445958359145,-0.006620564755646967,-0.005222450115156388
A1,CISD3,345,-0.13368310116268664,-0.12283043964879625,-0.0756987078682316,-0.06731509683363607
A1,COL1A1,345,0.27255795643881886,0.2507251506134814,0.153581280913789,0.1517566037809516
A1,COPE,345,-0.013397396944840255,-0.007353536271002299,-0.020866047816308766,-0.002171840073989063
A1,COX4I1,345,0.06627495067210999,0.04075194268993575,0.011534820538900054,0.004773176240314047
A1,COX6B1,345,-0.027056980812079565,-0.027647345536994918,0.02293499722634118,0.020459238378792297
A1,CRIP2,345,0.1027503127687878,0.026977382774585144,-0.02865238618511188,-0.01985802039883375
A1,CST3,345,0.011137780816738527,0.08624178037383655,0.04186047133216874,0.07067692802813048
A1,CYBA,345,0.06504210864194876,0.06884038687404359,0.06101340083217645,0.05589394002671916
A1,DDX5,345,0.14171029549384012,0.06486518770552342,0.03825075620515893,0.05732123940335317
A1,EDF1,345,0.05129558201580414,0.0500647084191719,0.02165207012708865,-0.012999364143510857
A1,EEF1D,345,0.009448781607045854,-0.011441659820753059,-0.01645589305623652,-0.01771739089411788
A1,EEF2,345,0.027243942466340668,0.03168313851532681,0.020410068570039307,0.02271074931696583
A1,EIF4G1,345,-0.1223211566493334,-0.1164798030141092,-0.08537282218001799,-0.08660977255385828
A1,ENO1,345,-0.0780928093329115,-0.055068092582554594,-0.05334121127981472,-0.04979943094255925
A1,ERBB2,345,0.1924465000530394,0.1666359806432858,0.17874620179003675,0.1837574820313715
A1,FASN,345,0.4437630834391994,0.4083773181714598,0.3135187438937527,0.31250456101724716
A1,FKBP2,345,-0.005219317740577259,-0.03149284977547519,-0.05464238105175273,-0.06306536820543976
A1,FLNA,345,0.07707395055122206,0.07331071174164379,0.0971651795767088,0.09481201621179139
A1,FTH1,345,-0.022544411439880233,-0.03644086377693756,-0.030627028730632003,-0.03026664315999584
A1,GNAS,345,0.14972225190758073,0.06672777078306145,-0.035017825286579915,-0.030094340197749227
A1,GNB2,345,-0.03451783760827916,-0.055867901486476905,-0.06648888143759164,-0.06833102313525881
A1,GRINA,345,-0.030957058677724875,-0.05328415106473059,-0.039997483722590925,-0.037349441145145455
A1,GRN,345,-0.06805445770690516,-0.05113936576628633,-0.023120570138367536,-0.03991975642824781
A1,H1FX,345,-0.02703712052111035,-0.08141984746073443,-0.07024778203038355,-0.10283439795622876
A1,H2AFJ,345,-0.01784130328567675,-0.026403104054042274,-0.0737980744612564,-0.08891527389941381
A1,HLA-A,345,-0.023934609715344377,0.03596443862699845,-0.06410231689203016,-0.048120280088909916
A1,HLA-B,345,0.08851537712108071,0.0870481404990043,0.10705248845869048,0.09784330934922283
A1,HLA-C,345,-0.1071685272058536,-0.08398571687108759,-0.07829767279742762,-0.062209708278926246
A1,HLA-E,345,-0.06366618512148836,-0.03132763496982172,-0.13891969431018752,-0.14011189628331747
A1,IDH2,345,0.026280766589154906,-0.025243149272387782,-0.02789039424915134,-0.013243076429144972
A1,IGKC,345,0.1217964726541289,0.08636495598381402,-0.045391838929552855,-0.04526830006983788
