section,patient,n_spots,r_full,r_full_floor,r_full_ci_lo,r_full_ci_hi,dg,dg_floor,dg_ci_lo,dg_ci_hi,crg,crg_floor,crg_ci_lo,crg_ci_hi,drg,drg_floor,drg_ci_lo,drg_ci_hi,drg_observed,drg_observed_floor,drg_observed_ci_lo,drg_observed_ci_hi,drg_above_floor,n_genes
A1,A,345,0.03113059616140832,0.020213866757957905,0.02155249921148652,0.060701301505033625,0.030402156433849546,0.0198499729854609,0.009387269006231972,0.04371366439684887,-0.0010328535341254913,0.016151106762648033,-0.01574647650043773,0.024652756584346045,0.0036962749239866388,0.0164021795521066,-0.01354678896617522,0.023458219330351915,0.0036962749239866388,0.0164021795521066,,,False,100
B1,B,293,0.1050942211494913,0.151598262776915,0.06604375294563815,0.1465076197994019,-0.029404694210509855,0.05142615306734525,-0.05387297279184316,-0.0038220717776055583,0.04346173306736008,0.08927654940127008,0.0037269889615601033,0.08330828656245388,-0.0027506845255285527,0.02547943760498292,-0.018465350183767954,0.016317200215500705,-0.0027506845255285527,0.02547943760498292,,,False,100
C1,C,174,0.108632387934605,0.04909640495756984,0.07109305843445385,0.14615600573483783,0.028786233482072175,0.03323758064089315,0.0002617558649518518,0.05575192308464139,0.08627916134644983,0.035853734063601116,0.06332216190477037,0.12898813048215596,0.0513171144941873,0.030278118402453404,0.02015116478015505,0.07176987514311614,0.0513171144941873,0.030278118402453404,,,False,100
