sample,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
MEND139,hest_var50,cp10k_panel,0.5194463532081192,0.1789106039241506,0.28820789746878406,0.10929729354463347,0
MEND139,hest_var50,log1p_raw,0.5194463532081192,0.1789106039241506,0.45863050402966904,0.27971990010551845,0
MEND139,trainHVG737,cp10k_panel,0.5194463532081192,0.1789106039241506,0.18370336896443337,0.0047927650402827815,0
MEND139,trainHVG737,log1p_raw,0.5194463532081192,0.1789106039241506,0.4316033702168779,0.2526927662927273,0
MEND140,hest_var50,cp10k_panel,0.6721350564278691,0.22278652067194593,0.35822315389484277,0.13543663322289684,0
MEND140,hest_var50,log1p_raw,0.6721350564278691,0.22278652067194593,0.5880938806168257,0.36530735994487973,0
MEND140,trainHVG737,cp10k_panel,0.6721350564278691,0.22278652067194593,0.25868982766984994,0.035903306997904005,0
MEND140,trainHVG737,log1p_raw,0.6721350564278691,0.22278652067194593,0.5864364273054494,0.3636499066335035,0
MEND141,hest_var50,cp10k_panel,0.8834773414815991,0.2835168583378623,0.345062222889405,0.06154536455154275,0
MEND141,hest_var50,log1p_raw,0.8834773414815991,0.2835168583378623,0.5296135981158596,0.24609673977799734,0
MEND141,trainHVG737,cp10k_panel,0.8834773414815991,0.2835168583378623,0.2902193436412484,0.00670248530338613,0
MEND141,trainHVG737,log1p_raw,0.8834773414815991,0.2835168583378623,0.5184198424763873,0.234902984138525,0
MEND142,hest_var50,cp10k_panel,0.5620660868307903,0.191157612673385,0.25319607882454603,0.06203846615116104,0
MEND142,hest_var50,log1p_raw,0.5620660868307903,0.191157612673385,0.4006686355896431,0.20951102291625812,0
MEND142,trainHVG737,cp10k_panel,0.5620660868307903,0.191157612673385,0.2109320219678322,0.01977440929444721,0
MEND142,trainHVG737,log1p_raw,0.5620660868307903,0.191157612673385,0.40261321395916916,0.21145560128578417,0
MEND143,hest_var50,cp10k_panel,0.46610742219725493,0.16358337638799864,0.20092713050315686,0.03734375411515822,0
MEND143,hest_var50,log1p_raw,0.46610742219725493,0.16358337638799864,0.3005359022176315,0.13695252582963285,0
MEND143,trainHVG737,cp10k_panel,0.46610742219725493,0.16358337638799864,0.16442313172963688,0.0008397553416382431,0
MEND143,trainHVG737,log1p_raw,0.46610742219725493,0.16358337638799864,0.30196080196576375,0.1383774255777651,0
MEND144,hest_var50,cp10k_panel,0.7425549628205895,0.24302205797838172,0.21500951861137307,-0.02801253936700865,0
MEND144,hest_var50,log1p_raw,0.7425549628205895,0.24302205797838172,0.2564050971934642,0.013383039215082493,0
MEND144,trainHVG737,cp10k_panel,0.7425549628205895,0.24302205797838172,0.19201114995320415,-0.051010908025177576,0
MEND144,trainHVG737,log1p_raw,0.7425549628205895,0.24302205797838172,0.2796574309657984,0.0366353729874167,0
MEND145,hest_var50,cp10k_panel,1.0760260890748026,0.3388467723468438,0.42319263690063447,0.08434586455379067,0
MEND145,hest_var50,log1p_raw,1.0760260890748026,0.3388467723468438,0.5574040015010293,0.21855722915418552,0
MEND145,trainHVG737,cp10k_panel,1.0760260890748026,0.3388467723468438,0.3533597855601369,0.014513013213293124,0
MEND145,trainHVG737,log1p_raw,1.0760260890748026,0.3388467723468438,0.5301363958803728,0.19128962353352896,0
MEND146,hest_var50,cp10k_panel,1.0483907914690118,0.3309056215512466,0.31260597239075333,-0.01829964916049326,0
MEND146,hest_var50,log1p_raw,1.0483907914690118,0.3309056215512466,0.41483035904234744,0.08392473749110085,0
MEND146,trainHVG737,cp10k_panel,1.0483907914690118,0.3309056215512466,0.23733947822126145,-0.09356614332998514,0
MEND146,trainHVG737,log1p_raw,1.0483907914690118,0.3309056215512466,0.37769207902860863,0.04678645747736204,0
MEND147,hest_var50,cp10k_panel,0.9425666033242072,0.30049647424018405,0.33400901352972634,0.03351253928954229,0
MEND147,hest_var50,log1p_raw,0.9425666033242072,0.30049647424018405,0.4458837466852278,0.14538727244504374,0
MEND147,trainHVG737,cp10k_panel,0.9425666033242072,0.30049647424018405,0.2790804708628948,-0.021416003377289272,0
MEND147,trainHVG737,log1p_raw,0.9425666033242072,0.30049647424018405,0.4348543771953993,0.13435790295521527,0
MEND148,hest_var50,cp10k_panel,1.3066268229659614,0.4051111284441473,0.28197881728947166,-0.12313231115467566,0
MEND148,hest_var50,log1p_raw,1.3066268229659614,0.4051111284441473,0.3585577772756404,-0.046553351168506896,0
MEND148,trainHVG737,cp10k_panel,1.3066268229659614,0.4051111284441473,0.2224485022283118,-0.1826626262158355,0
MEND148,trainHVG737,log1p_raw,1.3066268229659614,0.4051111284441473,0.3337263581607726,-0.0713847702833747,0
MEND149,hest_var50,cp10k_panel,0.6596295507020876,0.21919299661585523,0.2785950103200612,0.05940201370420595,0
