sample,panel,spotset,caliber,rtech_med_mine,rtech_med_stnull,rtech_q25,rtech_q75,rnbr_med,rnbr_mean,method
TENX116,hest_var50,all_eq_in_tissue,log1p_raw,0.9263944735513161,0.9262388718942401,0.822646211623376,0.9795397987166515,0.7626782976122275,0.7593836192627681,split_half_full
TENX116,hest_var50,all_eq_in_tissue,cp10k_panel,0.8595041371481799,0.8590560979050319,0.7788950061350078,0.9556510892235176,0.7157813515741833,0.7115031000105457,split_half_full
TENX116,hest_var50,all_eq_in_tissue,cp10k_full,0.8909603386544698,0.89048864284704,0.7657532448774939,0.9468118905417321,0.6539580883157203,0.6547643814124519,split_half_full
TENX126,hest_var50,all_eq_in_tissue,log1p_raw,0.911876631916744,0.9127784586580173,0.7744572563458975,0.9617212920167376,0.6564825474632536,0.6190957874631744,split_half_full
TENX126,hest_var50,all_eq_in_tissue,cp10k_panel,0.8145400248144207,0.8137849294714736,0.704813433190379,0.8969349899036194,0.5763138559604091,0.5527570264158476,split_half_full
TENX126,hest_var50,all_eq_in_tissue,cp10k_full,0.858786800385254,0.8589389730860323,0.7185635625065387,0.9266784488604562,0.6073821964444138,0.5656094140175609,split_half_full
TENX140,hest_var50,all_eq_in_tissue,log1p_raw,0.9417762320893419,0.9420476554933938,0.9075723341394009,0.9590543105308256,0.8316117034177214,0.8135671154718791,split_half_full
TENX140,hest_var50,all_eq_in_tissue,cp10k_panel,0.8542829297458479,0.8543457369138281,0.8174702071776827,0.8877158221333887,0.6340342749842747,0.6443369876947534,split_half_full
TENX140,hest_var50,all_eq_in_tissue,cp10k_full,0.8743593406551364,0.87324631950297,0.8320491684733593,0.899892196607312,0.6833818181160819,0.6807919120597432,split_half_full
TENX116,trainHVGmax,all_eq_in_tissue,log1p_raw,0.9141486264280128,0.9135717295782406,0.8221498963917697,0.9779045506915718,0.7770423910314538,0.7481923859239452,split_half_full
TENX116,trainHVGmax,all_eq_in_tissue,cp10k_panel,0.863401062779483,0.8632670899497591,0.7834112875875943,0.9511659945882912,0.7347651071969823,0.7017236095795314,split_half_full
TENX116,trainHVGmax,all_eq_in_tissue,cp10k_full,0.8694157556088309,0.8703392187004365,0.7672742625494032,0.9387983565874343,0.6635006259348752,0.6393447949324501,split_half_full
TENX126,trainHVGmax,all_eq_in_tissue,log1p_raw,0.8653608917015574,0.865141824316098,0.7612321316913505,0.9300417519182383,0.6185493890059931,0.5846093611270897,split_half_full
TENX126,trainHVGmax,all_eq_in_tissue,cp10k_panel,0.78461543419231,0.7884997030909395,0.692365054496892,0.8837833767572582,0.5568628331535228,0.532360570737487,split_half_full
TENX126,trainHVGmax,all_eq_in_tissue,cp10k_full,0.8210581017519281,0.8208212808611648,0.7115387019838576,0.8984490324788519,0.5397856216826694,0.5260594174456172,split_half_full
TENX140,trainHVGmax,all_eq_in_tissue,log1p_raw,0.9237714724864656,0.9229851256660189,0.8725440632943506,0.9505483605713753,0.7972132025965841,0.7328224138992214,split_half_full
TENX140,trainHVGmax,all_eq_in_tissue,cp10k_panel,0.8324984356793743,0.829930470687856,0.7874843378906212,0.874989550839638,0.6104627991324263,0.5742239072361996,split_half_full
TENX140,trainHVGmax,all_eq_in_tissue,cp10k_full,0.8488537183178505,0.8469902942453996,0.7943674453265678,0.8920882887509141,0.6499130245181239,0.5958536893940476,split_half_full
