spotset,panel,caliber,corr_sd_vs_r_n3,order_obs,order_pred
all_eq_in_tissue,hest_var50,cp10k_panel,0.9786366133336385,TENX116>TENX126>TENX140,TENX116>TENX126>TENX140
all_eq_in_tissue,hest_var50,log1p_raw,0.9984844024711338,TENX116>TENX126>TENX140,TENX116>TENX126>TENX140
all_eq_in_tissue,trainHVGmax,cp10k_panel,0.9602586850225223,TENX116>TENX126>TENX140,TENX116>TENX126>TENX140
all_eq_in_tissue,trainHVGmax,log1p_raw,0.9979976189015372,TENX116>TENX126>TENX140,TENX116>TENX126>TENX140
