sample,panel,spotset,caliber,med_r_real,med_r_sim,mean_r_real,mean_r_sim,sim_ge_real
TENX116,hest_var50,all_eq_in_tissue,log1p_raw,0.6777702818116302,0.9096076082451738,0.6671596333175289,0.8892331814651313,1
TENX116,hest_var50,all_eq_in_tissue,cp10k_panel,0.7111191897846074,0.8985269680362753,0.6914605846949423,0.8775850502006307,1
TENX126,hest_var50,all_eq_in_tissue,log1p_raw,0.4092708102658055,0.5873298751837608,0.45327476263478517,0.6002388903794018,1
TENX126,hest_var50,all_eq_in_tissue,cp10k_panel,0.44891100621697033,0.5874149377877207,0.4844215692075204,0.5937400719596748,1
TENX140,hest_var50,all_eq_in_tissue,log1p_raw,0.3956622822384446,0.7140102979928435,0.45466376134597114,0.7035161977652784,1
TENX140,hest_var50,all_eq_in_tissue,cp10k_panel,0.33245684656656826,0.6429826956071152,0.38159986594060363,0.616297609620884,1
TENX116,trainHVGmax,all_eq_in_tissue,log1p_raw,0.6861264936423521,0.9006749685698617,0.6767545868149815,0.8604439957973562,1
TENX116,trainHVGmax,all_eq_in_tissue,cp10k_panel,0.7140941864641001,0.8915253063686043,0.6941657433991679,0.8467171343311315,1
TENX126,trainHVGmax,all_eq_in_tissue,log1p_raw,0.44367438544755655,0.5462983235918484,0.4576584786934417,0.5524803825576888,1
TENX126,trainHVGmax,all_eq_in_tissue,cp10k_panel,0.47931418313223745,0.5376551046643057,0.4838099215069908,0.5437359474279235,1
TENX140,trainHVGmax,all_eq_in_tissue,log1p_raw,0.3934542886586185,0.6684209922927191,0.45018189143467013,0.6547316984688543,1
TENX140,trainHVGmax,all_eq_in_tissue,cp10k_panel,0.3381999373219517,0.5963369123692553,0.37741340802182916,0.5719973402667563,1
