caliber,spotset,sample,depth_null,r_nbr,sd_loglib,n_spots
log1p_raw,all,NCBI681,0.2625183884605876,0.2535207800652347,1.2343115879371187,4992
log1p_raw,all,NCBI682,0.37668588625560867,0.562010260630456,1.6417927175916527,4988
log1p_raw,all,NCBI683,0.22999620479335098,0.22406148930354136,1.173685905822935,4992
log1p_raw,all,NCBI684,0.36686650670935045,0.38650251301147953,2.280545609498246,4992
log1p_raw,in_tissue,NCBI681,0.24228464570004526,0.19079702851898106,0.6085192438402727,4553
log1p_raw,in_tissue,NCBI682,0.3779071855967427,0.5492639296936598,1.297009011555567,4859
log1p_raw,in_tissue,NCBI683,0.18893463091053603,0.17489705194398564,0.7434205194288375,4454
log1p_raw,in_tissue,NCBI684,0.27557255654505064,0.2498607703628668,0.8008813579974017,3055
cp10k_panel,all,NCBI681,0.25217886695939407,0.1953133869878413,1.2343115879371187,4992
cp10k_panel,all,NCBI682,0.3545749332105099,0.401750691149414,1.6417927175916527,4988
cp10k_panel,all,NCBI683,0.2115716649380726,0.1807779102875076,1.173685905822935,4992
cp10k_panel,all,NCBI684,0.3617200070492663,0.3256118272101584,2.280545609498246,4992
cp10k_panel,in_tissue,NCBI681,0.2111055806684818,0.1350769227422195,0.6085192438402727,4553
cp10k_panel,in_tissue,NCBI682,0.3332742250716297,0.3707752421209809,1.297009011555567,4859
cp10k_panel,in_tissue,NCBI683,0.15764960699297517,0.1335209162427441,0.7434205194288375,4454
cp10k_panel,in_tissue,NCBI684,0.22548204518619264,0.17355523790487565,0.8008813579974017,3055
