section,patient,panel,target,smooth,n_genes,med_all,mean_all,heg50_mean,top50_testpcc,top100_testpcc
D4,D,htg785_fixed,cp10k,raw,785,0.058905669081383526,0.057929018013032685,0.08385429080650762,0.22399904492392506,0.19327782427061646
D5,D,htg785_fixed,cp10k,raw,785,0.024698258005565504,0.02761009346795882,0.03510077038281942,0.19466783258816833,0.16639136021887085
D6,D,htg785_fixed,cp10k,raw,785,0.04633864477022783,0.05021289598273283,0.10234187665381522,0.23721845620987977,0.20569383472173997
D1,D,htg785_fixed,cp10k,smooth,785,0.11604382378588654,0.11736038135915955,0.14551135433870843,0.3489011932820544,0.30562602683046775
D2,D,htg785_fixed,cp10k,smooth,785,0.0860511246737841,0.08611948459983956,0.1510119716357312,0.3484884636425642,0.30430642383775663
D3,D,htg785_fixed,cp10k,smooth,785,0.06978730089026415,0.07239690042011725,0.10381379506468937,0.30150956716397376,0.26213902152458507
D4,D,htg785_fixed,cp10k,smooth,785,0.027924663189042735,0.02980936695362521,0.0480478964273866,0.3171928835522496,0.26593054828847773
D5,D,htg785_fixed,cp10k,smooth,785,-0.04549969047376378,-0.025090765913704304,0.0055984182643878475,0.2963226440784836,0.2516923813507793
D6,D,htg785_fixed,cp10k,smooth,785,0.02132984761402356,0.03639646857501732,0.10393114366196214,0.3599563601815757,0.31007661293628325
D1,D,htg785_fixed,scprep,raw,785,0.05198744081797361,0.06227588278519219,0.1426854908678002,0.28095443360732175,0.22684264284813452
D2,D,htg785_fixed,scprep,raw,785,0.04182665156997294,0.047713876945966835,0.1291329428534021,0.23552132720978539,0.19925187782701792
D3,D,htg785_fixed,scprep,raw,785,0.041697817517291264,0.04572608783508824,0.10924609642303233,0.21916720151563532,0.18512624929323213
D4,D,htg785_fixed,scprep,raw,785,0.032698869905592974,0.03484289915580056,0.07234786537067812,0.20244163167268275,0.1678993008517875
D5,D,htg785_fixed,scprep,raw,785,0.010123235183367659,0.016095230899338127,0.024085138351036147,0.1719507350566398,0.1440144209304979
D6,D,htg785_fixed,scprep,raw,785,0.023603059663356792,0.02748912915458984,0.07942881667496594,0.20313601809295245,0.16747479777356733
D1,D,htg785_fixed,scprep,smooth,785,0.06856249036974191,0.07818283748781339,0.13187791594635057,0.3325253237003533,0.28540655790334163
D2,D,htg785_fixed,scprep,smooth,785,0.041914250041703134,0.04568425432568761,0.10419222065955516,0.3170134377418167,0.26942056566455486
D3,D,htg785_fixed,scprep,smooth,785,0.04598606988736518,0.04801151712822434,0.09515253530652622,0.26017563618534023,0.2287790965789936
D4,D,htg785_fixed,scprep,smooth,785,0.01522291294440542,0.01927934600123782,0.01983135930192204,0.27124228951771534,0.22683482157356558
D5,D,htg785_fixed,scprep,smooth,785,-0.021468267270545,-0.018432828826879813,-0.014058085015420583,0.24166740688717434,0.2042473777040883
D6,D,htg785_fixed,scprep,smooth,785,0.007730205187241376,0.018941077960362648,0.07234700497951618,0.28234177748285527,0.2343873263575641
E1,E,hvg737_train,cp10k,raw,737,0.023462587089026814,0.03307332854774066,0.13124623420814344,0.24192253841491249,0.1868809492945822
E2,E,hvg737_train,cp10k,raw,737,0.03245351698354559,0.04442922507953715,0.13280889097503323,0.27487260972155975,0.2144060216817964
E3,E,hvg737_train,cp10k,raw,737,0.02966851289992481,0.04418926791528144,0.12024665055656504,0.28520868720707887,0.22225347631432613
E1,E,hvg737_train,cp10k,smooth,737,0.039101281121916964,0.04707482874950177,0.17501503588078296,0.35411491864575134,0.29409969278216386
E2,E,hvg737_train,cp10k,smooth,737,0.04319949086903799,0.05661624480327011,0.16325914299966895,0.34857255381148144,0.2962320518628244
E3,E,hvg737_train,cp10k,smooth,737,0.04150505734586738,0.05627679788639332,0.12977397341636182,0.37855990957465724,0.3129043180852697
E1,E,hvg737_train,scprep,raw,737,0.029306643967824012,0.0406117064905909,0.1387824787218957,0.26584754188669923,0.20611358253991216
E2,E,hvg737_train,scprep,raw,737,0.042452031519583905,0.05539436263950878,0.1455583971891796,0.30161026599911067,0.23682437087923167
E3,E,hvg737_train,scprep,raw,737,0.03961385238511123,0.053933310314135834,0.130859986078066,0.3129125270623981,0.24292117583249356
E1,E,hvg737_train,scprep,smooth,737,0.05392390440705173,0.05904142392361359,0.182144442181338,0.37810772811118876,0.3181809196605926
