tag,section,patient,model,n_labeled,r_full,dg,crg,drg,drg_ci_lo,drg_ci_hi,perm_max,perm_p95,g4_pass
phikon_p50,F1,F,LAB|ridge_naive_labrows,659,0.018834938093919923,0.032653714258155456,0.01746519659033411,0.02913968666264425,,,,,
phikon_p50,G2,G,depth,402,0.18767332311122423,,0.107406455289853,,,,,,
phikon_p50,G2,G,dc_image,402,0.13170895128908403,0.042050081022596025,0.06934057112400935,0.019756177300732314,,,,,
phikon_p50,G2,G,full_image,402,0.1330062255096969,0.0716645901026692,0.07894869754082237,0.05241610178766452,0.044234429972377455,0.06273845362890984,0.011711238732541552,0.006937327528402482,True
phikon_p50,G2,G,delta_image,402,-0.02974163121118632,0.01885842903089442,0.002537690006909543,0.02969111306787569,0.017640898291908933,0.03698112616014318,0.017291046496061297,0.009205960453045704,False
phikon_p50,G2,G,comp_image,402,0.051235412757885755,0.04205008102259618,0.015231796648572575,0.01975617730073173,,,,,
phikon_p50,G2,G,dc_nmf,402,0.12449269560217666,0.032925076720514736,0.06900680348214445,0.022135148775751883,,,,,
phikon_p50,G2,G,full_nmf,402,0.1210557647181823,0.06746693802803778,0.07197797198262947,0.05038101555216711,,,,,
phikon_p50,G2,G,delta_nmf,402,0.011634824392306701,0.04342882400310657,0.008325002485312939,0.033759238994463495,0.024238970749652023,0.04279775932648223,0.010150550616381348,0.005999917780760837,False
phikon_p50,G2,G,comp_nmf,402,-0.007540335281405648,0.03292507672051513,-0.001845242309886626,0.02213514877575323,,,,,
phikon_p50,G2,G,ridge_naive,402,0.18522168398682123,0.048978207130015,0.10667346009544562,0.03048980858310979,0.023235709169288975,0.03970225043109263,0.012349413197349134,0.0073258594063327674,False
phikon_p50,G2,G,LAB|depth,402,0.17220114883100424,,0.0994457551599883,,,,,,
phikon_p50,G2,G,LAB|dc_oracle,402,0.1628483802192441,0.06344132800500142,0.09944575515998805,,,,,,
phikon_p50,G2,G,LAB|full_oracle,402,0.13921812311174825,0.04495714632145971,0.09075464438654371,0.030775157099622075,,,,,
phikon_p50,G2,G,LAB|delta_oracle,402,-0.03271418564755107,-0.006203769370836418,0.06055697167809533,0.030775157099622266,,,,,
phikon_p50,G2,G,LAB|comp_oracle,402,0.13058092374249033,0.06344132800500178,,,,,,,
phikon_p50,G2,G,LAB|dc_image,402,0.1340070201761396,0.046974349494675355,0.06888410649902972,0.02487646340539768,,,,,
phikon_p50,G2,G,LAB|full_image,402,0.11222146632555663,0.04987067091536973,0.05737091940811985,0.035234593346107464,,,,,
phikon_p50,G2,G,LAB|delta_image,402,-0.047247230578058394,0.0036750663330157762,-0.013873441686005466,0.01267323210137239,,,,,
phikon_p50,G2,G,LAB|comp_image,402,0.0887295914826487,0.04697434949467546,0.03694181214302923,0.024876463405397075,,,,,
phikon_p50,G2,G,LAB|ridge_naive_labrows,402,0.18522168398682123,0.048978207130015,0.10667346009544562,0.03048980858310979,,,,,
phikon_p50,H1,H,depth,530,-0.1518090819804927,,-0.04361478690853833,,,,,,
phikon_p50,H1,H,dc_image,530,0.12400062188141821,0.05745948645310964,0.05504958156159816,0.04737884355333921,,,,,
phikon_p50,H1,H,full_image,530,0.15207074463740672,0.05201043194462845,0.05264957093133827,0.0355415971294845,0.028897735393057733,0.04639913986278759,0.010781428882606418,0.006214555896700439,False
phikon_p50,H1,H,delta_image,530,0.03538882467304719,-0.0022652932203998935,0.010313584488310535,0.002399574997130576,-0.008823740512377696,0.009872024999042757,0.009739877327948994,0.005457337568672597,False
phikon_p50,H1,H,comp_image,530,0.15671314981499937,0.0574594864531095,0.06398797703734821,0.04737884355333895,,,,,
phikon_p50,H1,H,dc_nmf,530,0.07068178868042668,0.017044131172336507,0.02001125277633287,0.010016201220119992,,,,,
phikon_p50,H1,H,full_nmf,530,0.12354605202230683,0.04496355481144736,0.04458660921821837,0.030623198534819762,,,,,
phikon_p50,H1,H,delta_nmf,530,0.07802379919440115,0.029537715421491525,0.030873109216036313,0.023730804441485363,0.017607861969751854,0.03397801077470633,0.013699090418404416,0.007250703337976189,False
phikon_p50,H1,H,comp_nmf,530,0.127415086201312,0.017044131172336205,0.03235880551518692,0.010016201220122508,,,,,
phikon_p50,H1,H,ridge_naive,530,0.14960924259608832,0.028240526103236834,0.050825503374229725,0.021681696138001173,0.013941843114475685,0.031911886082312525,0.011797387269234186,0.006543678485491715,False
phikon_p50,H1,H,LAB|depth,530,-0.14101663768005535,,-0.03802491147088746,,,,,,
