section,real,sim,sd_loglib
A1,0.1663983379197885,0.21801976796133898,0.5252429789915893
A2,0.12315611263361229,0.17448318318874098,0.43420981571546763
A3,0.14030045500712132,0.19844738346904084,0.5005707863171309
A4,0.12087562574443371,0.15912122253046068,0.4618001594986637
A5,0.0978633414176504,0.15474663410584144,0.3920180651987965
A6,0.23059843185028095,0.2714390230900464,0.7390284591164336
B1,0.39075951824844785,0.40381133965924076,1.2562808513707187
B2,0.42107098564374285,0.42862502709583294,1.4251323756225758
B3,0.3766381968564479,0.40140378479029526,1.2309461282082628
B4,0.41521850802717236,0.4266650324185128,1.3840246677022283
B5,0.31308082642032825,0.34059061037473043,1.059064172663719
B6,0.38740403550043206,0.40742436880625355,1.2688308986848011
C1,0.30616909511397794,0.31697788856009174,0.8201431727051485
C2,0.28760588700322576,0.3029381172580501,0.8286823740424365
C3,0.27981325386281325,0.2917164799835055,0.8102616839416185
C4,0.2951209799478795,0.28596767811387336,0.7769247009082452
C5,0.2879396420218346,0.2957371043244807,0.7368660578031893
C6,0.2535104085938364,0.30213734010499893,0.6938762617522534
D1,0.18764790065133216,0.21834601863783457,0.6319935267698509
D2,0.24556213988719008,0.24404300403233267,0.6616935788994307
D3,0.2151863200316398,0.22611511350025448,0.6854371069381234
D4,0.2603917042317438,0.2752843141199115,0.8385708903143195
D5,0.18902533435433092,0.21193023127587346,0.6373921137584294
D6,0.2251143042570167,0.2652676115806564,0.7123248747084795
E1,0.18747076303609295,0.21514377031812817,0.5255468449567969
E2,0.1612898855328899,0.17045072497809458,0.4187213332359822
E3,0.17347426243124378,0.19929658109631201,0.4709828567189944
F1,0.1520523776998096,0.1603747558880479,0.38882015059511393
F2,0.16850142399922963,0.1809079197105967,0.4335874453398661
F3,0.1535940837133817,0.16449887935619206,0.39505713129889664
G1,0.2217066379766631,0.26642320638317124,0.695496049833378
G2,0.24689852318085123,0.2755477744095212,0.7196958114607451
G3,0.261213028983958,0.3049854735050643,0.8076404416714889
H1,0.22908847996104684,0.244033893856486,0.6328997224308992
H2,0.26898677988095676,0.2820977008527657,0.736808466753371
H3,0.21126154172021805,0.2350380401988897,0.6143673869898749
