section,gene,r_tech,r_nbr
A1,IGHG4,1.0000000000000004,-0.005839472060845604
A1,CALML5,0.8146785220023989,0.1317311361740911
A1,S100A9,0.79407185490618,0.36401444520117
A1,IGHM,0.8622546947204485,0.38707891473577943
A1,S100A8,0.7855962619780412,0.09517208266366232
A1,IGHG3,0.8576861564568301,0.6278105445252532
A1,IGLC3,0.851605676354405,0.3268545105277734
A1,AP000769.1,0.7700618015560764,0.1428227440965165
A1,FN1,0.8519675319618244,0.23627781189189023
A1,IGHG1,0.8012784168055923,-0.0318579108649872
A1,TFF3,0.8530204952296505,0.4311261744501162
A1,MGP,0.806915683092489,0.2891152464829668
A1,COL1A2,0.7993861423585398,0.14353544458981773
A1,MUCL1,0.9215655080472108,0.7253312421349593
A1,IGLC2,0.8457546635912385,0.3852035146128298
A1,ACTG1,0.7746305021984764,0.14425600706704775
A1,BEST1,0.7685715984109979,0.02596529453192291
A1,PSMB3,0.7864782762016094,0.23445299411078996
A1,IGHA1,0.857525240543399,0.46644272581261276
A1,COL1A1,0.8076944136226157,0.38060741141566173
A1,COL3A1,0.8347204346474756,0.1710809983360253
A1,IGKC,0.8869116982577714,0.6258218787170091
A1,APOE,0.8350007271361705,0.5232541365853455
A1,PSMD3,0.7513450019295239,0.18057222120040772
A1,S100A14,0.8135380150361297,0.3280318175086287
A1,PABPC1,0.8172238625175285,0.11182508033575311
A1,APOC1,0.8461370799149495,0.2865797333610841
A1,AZGP1,0.7054967063989356,0.19853696945142416
A1,TPT1,0.8587022934847925,0.6154592112344669
A1,B2M,0.8119967774930495,0.23226934433705215
A1,ERBB2,0.8968893589044786,0.7093069940016054
A1,C1QA,0.7822877669371726,0.21176320841906557
A1,AEBP1,0.7980093699301405,0.115700402414358
A1,CLDN3,0.8071805003926693,0.3722849728432809
A1,ISG15,0.7945541848460358,0.22650017536550132
A1,IFI27,0.8144161812989833,0.1999095026140723
A1,MZB1,0.8394670199961446,-0.010925706326760001
A1,LTF,0.8171024719029039,0.03293335476190957
A1,DDX5,0.7956573837773597,0.2572591524803053
A1,FASN,0.8295794847065833,0.3662291638763995
A1,HLA-DRA,0.8230776265311966,0.2384871651393637
A1,EEF1D,0.7644280981637059,0.073351699728811
A1,PPP1R1B,0.8559387918767807,0.22262019310182646
A1,SDC1,0.7890870318923582,0.10286281745929027
A1,MUC1,0.7809549051715359,0.30866802744771066
A1,FTH1,0.7546322112098575,0.030182519499512093
A1,DHCR24,0.7563029220883943,0.051050482540551216
A1,SCGB3A1,0.7699721611347154,-0.02623984467690362
A1,ATP5E,0.8148262353636601,0.0998226869340924
A1,SPARC,0.8019635700633937,0.24219538446055136
A1,A2M,0.8325508772120201,0.17644966547154614
A1,GNAS,0.8034499074881747,0.2282670644360944
A1,IGFBP2,0.8516905452113537,0.49790236611278615
A1,GLTSCR2,0.7902257857750307,-0.1273540282195007
A1,VIM,0.8035703053657509,0.1481625959659817
A1,LY6E,0.7332527100093879,-0.027081644394230473
A1,CISD3,0.8158763452797837,0.37016899258978525
A1,GSTP1,0.7684963613576764,0.025865124211847192
A1,BGN,0.7844984466057698,0.04286269512016228
A1,MIEN1,0.8581085043686485,0.4185182228241494
A1,LGALS1,0.7801305866366179,0.28523192790229507
A1,TMED9,0.7415202055843629,0.030914273871135118
A1,PCSK7,0.7882049909339129,0.15851981165882512
A1,TAGLN2,0.7643995399871936,0.4248196681232229
A1,KRT18,0.7806365785804674,0.10981830212031297
A1,NDUFB9,0.7896555052687654,0.3779615812271287
A1,TAPBP,0.772986994410653,0.07144595045837782
A1,TAGLN,0.7645297698973513,0.008599206622454619
A1,MMP14,0.7892169700488958,0.180597442868016
A1,HLA-C,0.7625233649156019,0.15465262422832193
A1,COMP,0.8327871866260667,0.4382749192347437
A1,C3,0.8404347776569432,0.2463612334516773
A1,ATP6V0B,0.777511918591483,0.004348556888435178
A1,PCGF2,0.7349412150105414,0.0846259870894435
A1,MYL6,0.7826769515980255,0.13753750275947077
A1,RNASE1,0.7750133312548201,0.0953639458102395
A1,PTMS,0.7413282904273661,0.18367112878806494
A1,ATP6AP1,0.7867392310074197,0.118861198098244
A1,MDK,0.7906565385713623,0.11862971093552711
A1,MYL9,0.7723080971195293,0.13251900957503143
A1,ADAM15,0.7513659681209846,0.37924881195439536
A1,LUM,0.8165497565483497,0.06256874857750033
A1,PNMT,0.8413079037778078,0.3631910068549831
A1,NBL1,0.7463635152988465,0.06823086997841847
A1,S100A6,0.7557768654575223,0.08840412056097735
A1,PTPRF,0.8561154001630551,0.5836638078879804
A1,C4orf48,0.7934826082137835,0.21611656779298707
A1,H2AFJ,0.796363405191976,0.37987983851746804
A1,HLA-A,0.7694045369660192,0.032515224394125596
A1,GRB7,0.7323475828180834,0.06703848120419587
A1,POSTN,0.8067956365266986,0.20354396940566705
A1,MZT2B,0.7713187181990111,-0.00020195500244221654
A1,MLLT6,0.7544356964622329,0.25384779439888494
A1,TUBA1B,0.8081926338246422,0.24577736731245045
A1,LMNA,0.8027614826999628,0.39412653754801613
A1,IGFBP4,0.8058634164045319,0.21472818199097346
A1,HSPB1,0.8188341022755761,0.12267990801772315
A1,DCN,0.8038005208363518,0.1549279751377768
A1,STARD3,0.7223525262526839,0.3682955311609605
