section,gene,cross6,binary,oracle
A1,IGHG4,0.1887780717000667,-0.019265863445623647,0.21168293336660574
A1,S100A9,0.4078211493921172,0.16657666541773766,0.4500642437592497
A1,CALML5,0.033034896345787476,-0.04949069873189487,0.09936130037346574
A1,IGHA1,0.37986964037458515,0.4033694229630428,0.47084174165989523
A1,S100A8,0.03710258463545257,0.046627519847209316,0.055687880377513925
A1,IGHM,-0.14586929282125366,-0.27966675948524927,0.4034947355030369
A1,IGHG3,0.2933656607502224,0.27486860873147967,0.4068904867342841
A1,SLC9A3R1,0.16039074537213407,0.11596127716484632,0.23295527332057955
A1,FN1,0.2419070816896735,0.09902398904959536,0.26593943894920397
A1,MGP,0.32739947295526867,-0.23743933391558245,0.4654219942598193
A1,IGLC3,0.4038329680309461,0.31014534237014646,0.46414926484980995
A1,BEST1,0.025060716048842576,0.03706986538403714,0.1656370641797547
A1,COL1A2,0.2371859455163701,-0.040856155414581964,0.34761446298180315
A1,AP000769.1,-0.11311825550194106,0.0007660535900601962,0.22299019792147065
A1,PABPC1,0.17574365806361053,0.13127637392350977,0.23679968781503316
A1,IGHG1,0.2033302182661069,0.1125501254487703,0.3912459924855694
A1,COL1A1,0.3570853731886818,5.892841739367122e-05,0.39832588930718343
A1,ISG15,0.03477987899098061,0.14539468491644023,0.3264795284249681
A1,FASN,0.36491080312046004,0.30861248414975884,0.40319438576396044
A1,B2M,-0.09740480471026833,-0.10428286915776509,0.16616987120878743
A1,ACTG1,0.2614540299543497,0.2478757139584232,0.28822369697930766
A1,LLGL2,0.1604637921325026,0.1184808137661507,0.1822159433192173
A1,MZB1,0.009104884033365119,-0.02716137260886454,0.03508619174194729
A1,SCGB3A1,0.047467235617754615,0.04238567737447623,0.054752461331348
A1,COL3A1,0.13818515228896028,-0.03542506048737852,0.2361827745029571
A1,LY6E,0.079282358918463,0.04343455047453856,0.15093576243196188
A1,FTH1,-0.028163961021512647,0.028839800695003467,0.08909351852922517
A1,PTMS,-0.0661028206094673,-0.07804717943858526,0.21732933037203014
A1,TPT1,0.6164808153408606,0.49166125818129536,0.6370721263999954
A1,MUCL1,0.5893956557625519,0.3022195305707846,0.7176009128840938
A1,PSMD3,0.1500339622474029,0.06538971942285457,0.19736086648073503
A1,TAGLN,0.05219908021002821,0.06953732202725375,0.1687608238245675
A1,IFI27,-0.024211652918546683,-0.13571458241013268,0.15880682835530896
A1,APOC1,0.03884750925670054,-0.12206527419191605,0.16247169650151963
A1,S100A14,-0.41045695764127854,-0.10966041182733509,0.4850017834658721
A1,TFF3,-0.026887402143615922,0.20974044570866232,0.6055380510678785
A1,APOE,-0.23950975138115188,-0.25850590595217915,0.33690242508775115
A1,AZGP1,0.16099179869591487,-0.056365654292409716,0.24753584726974118
A1,IGFBP2,0.3635593618075759,-0.21149451450077558,0.6142328365278238
A1,C1QA,-0.10912040809481402,0.2233930572270588,0.28035377773311043
A1,MMP14,-0.11924579533279617,0.1103268170691608,0.18073339481129855
A1,HLA-DRA,-0.024632959837240846,-0.08763449904655249,0.1616671144021637
A1,AEBP1,0.16647054502019523,0.1494104838709122,0.2665239271038519
A1,DHCR24,-0.02889932431932449,0.017270760378106174,0.11846481489150526
A1,PHB,-0.04940846138752099,-0.044149883814656926,0.11796174238606748
A1,TMED9,-0.02435094808223482,0.06449020602251826,0.27837810792620893
A1,SPARC,0.15434024490448214,-0.13030216818073595,0.21578241400630552
A1,ATP5E,0.33382642458624373,0.2131099005784894,0.34665278150367923
A1,CLDN3,0.1703546247256218,0.011063300163475679,0.27110549176520504
A1,LGALS1,0.22532220953892612,0.20341785931990874,0.30276455365205573
A1,PSMB3,0.13984312268341334,0.11283871560910595,0.2446581944194013
A1,BGN,0.21306817460283914,0.2081115108783748,0.2711811492423165
A1,VIM,0.15581031015844954,0.11646231211846886,0.20300408724421923
A1,H2AFJ,0.22914055716336929,0.15056375190175195,0.40306907134203485
A1,GRB7,0.14702334002663317,0.17691022567388362,0.2004925203580179
A1,A2M,0.09545155231058347,0.17426857227899845,0.26393131913898216
A1,CYBA,0.23939309965036978,0.11691608728796136,0.2992465637167808
A1,DDX5,0.23571257219349218,0.28150254740930114,0.3755696481310773
A1,LTF,-0.06929974392754151,-0.08833249925920207,0.11410509515422249
A1,PNMT,-0.43580872446456675,-0.03725730225471571,0.5506470207821957
A1,GLTSCR2,0.09279776145163865,0.10752582931647547,0.1446354936290589
A1,IGKC,0.4510249839113693,0.3937181368388215,0.49345741828324485
A1,KRT7,0.10823616344050599,0.05054888631152939,0.23731808349463632
A1,EEF1D,0.05776001376731781,-0.050466964982150885,0.14608151670281394
A1,MUC1,-0.35923673399332695,0.14398411730325078,0.4346047424472762
A1,G6PD,0.01831797801244079,0.018181349722391,0.08274975778643112
A1,MYL9,0.1281086141330747,0.11032621955244147,0.22853873216340415
A1,COL6A2,0.23043365642480435,0.25470894766445573,0.2775303748743708
A1,IGLC2,0.09464594612345614,0.30930421588784,0.3466289408328216
A1,GSTP1,0.08041205911313076,0.06943553983648779,0.1270347569554297
A1,MIEN1,0.07548599188980361,0.04203405131421786,0.17574241778188904
A1,GNAS,0.2733156188852739,0.2561686101337896,0.2763377743903615
A1,MRPL27,0.07255512509799913,0.039101137034901375,0.14831323197262467
A1,IGHG2,-0.15807197431608122,-0.1288152934110367,0.2503517671666094
A1,ATP1A1,0.10474728793488564,0.07099245773129524,0.12108653908569059
A1,NDUFB9,0.37967860011018834,0.12242755538046907,0.39077095392709915
A1,RNASE1,0.12592189178992658,-0.10173061293696811,0.2538792496417965
A1,TYMP,0.06296474122318596,0.10761542377510469,0.12961474186961736
A1,IGFBP4,0.17588147522931863,0.18813018656410355,0.23218547767086764
A1,KRT18,0.07987453396649588,0.006734440878665186,0.14418182405751115
A1,C3,0.1760811168383352,0.2008575483130203,0.26490555379184194
A1,MYL6,-0.01684846368439067,0.00259815828635655,0.27286784890272947
A1,S100A6,0.2124802563430026,-0.12261121507110626,0.2696846466351173
A1,FKBP2,-0.011543090673685943,-0.027353353885776477,0.17866740658356464
A1,FADS2,0.02835845820149245,0.0280375256207794,0.12777518120614745
A1,C4orf48,0.01036234196418137,-0.087772264579557,0.1401960994990642
A1,SDC1,-0.048861649624619106,0.013804067162327788,0.13272837266565804
A1,SNF8,-0.13354810056932181,-0.1404547848370089,0.17685486460872507
A1,S100A11,0.15679499105535832,0.16057687660473483,0.1923674917654768
A1,NDUFB7,0.05738626170794291,0.03052034866168179,0.1068950701072048
A1,MDK,0.20343785199334272,0.11159370911940772,0.28610039953982586
A1,TUBA1B,0.2233009558526393,0.1894621111709956,0.28241375339445773
A1,MLLT6,0.38165301557491493,0.3729367750176288,0.4025329021108772
A1,COX5B,0.05736440480329597,-0.02002072697972327,0.1311502634629042
A1,CCT3,0.1031593616603954,1.5232702160641993e-05,0.24948905581598563
A1,PCSK7,0.03382906275245442,-0.055779005794805284,0.1340393980914661
A1,NDUFS5,-0.1353996900465909,-0.007442120468476352,0.22608733307026804
A1,PTPRF,0.03157400429084202,0.20664327622997966,0.5272520482574439
A1,TAPBP,-0.007894257690263754,-0.06059623292894308,0.231359690019476
A1,ATP5G1,0.17776168432566353,0.09261760871584515,0.19224183629367433
A1,COX6B1,0.0664744877939492,0.03382052836042752,0.15211989406450965
A1,SELM,0.16171546576343038,0.1430863166056265,0.1816881627094381
A1,COX4I1,0.03399084285055029,0.040390839196386426,0.0686313994277308
A1,TIMP1,0.22984307719417887,0.24279485094226927,0.26421381391970933
A1,POSTN,0.2796875101462231,0.07441003170359549,0.3116638457303851
A1,UQCRC1,-0.09530042169686319,-0.14605071418391938,0.1667058393335682
A1,PEBP1,0.17810702502458164,0.10239098529333265,0.23120469826974058
A1,EEF2,0.12909425001900948,0.13455157210349217,0.1720659379169476
A1,ATP6AP1,-0.009947839719710022,-0.02281085927766601,0.2057511787212881
A1,MZT2B,0.025042932923955707,-0.0838438084965971,0.1402234017823167
A1,COL18A1,0.1849910315608435,-0.07080484414713842,0.2547787791156579
A1,NDUFA3,0.08082762122000417,-0.0027643558344206272,0.2779533547765175
A1,CISD3,0.2911741091818701,-0.10164579345718527,0.45430545022730495
A1,RRBP1,0.0320461377005968,0.16576961954081104,0.17716939303041876
A1,STARD3,-0.2756957992560237,-0.27593885475983165,0.2967439890245393
A1,TCEB2,0.08671158761569137,0.07128138982348335,0.12887394010554454
A1,RARRES2,0.003314526966601699,0.08917693449056545,0.11859184119569384
A1,LGALS3,0.13457318562754128,0.14624716353943504,0.16666693614419634
A1,HSP90AB1,0.45189512909721335,0.4475187679696152,0.47492806367000345
A1,TPI1,-0.2136502476300466,0.09075330057127892,0.2731879349057247
A1,PKM,0.09783465885791565,0.1029585368862324,0.1653462153445309
A1,PRDX1,0.18377271830547176,0.13696721536223758,0.2019601916646455
A1,QARS,0.04795256104908127,0.028006836355639764,0.09150126385935738
A1,ERBB2,0.3842004027284662,0.3988014832520668,0.5640749866846925
A1,TUFM,0.20278005565798038,0.19326682675321932,0.2328456266005269
A1,COPS9,0.07042616688007969,0.019454530767567296,0.2596669483031934
A1,HSPB1,-0.21521095298249845,-0.12754172008411874,0.36097064120913497
A1,CLU,0.21760540551882213,0.1958122142726334,0.2931375306960869
A1,LMAN2,0.04879856656783903,-0.018185421743484986,0.23570392542581892
A1,CHPF,0.019000852468139644,0.030336751739137646,0.1523259842276175
A1,PCGF2,0.07760372511394596,0.0800313686289082,0.17081565289152312
A1,UBC,0.08202905596609807,0.03465286776981593,0.14283101044378127
A1,IFI6,-0.06341940512338175,-0.062080632514665085,0.08026889765712598
A1,WDR34,0.2591666730613994,0.2413965910443014,0.3735239892047982
A1,PLXNB2,0.13795641662904345,0.09129072431526394,0.3110713152782583
A1,ADAM15,-0.009612003614101692,0.12979210099885152,0.17942723089939083
A1,CD52,0.17863457935801227,0.07078211730688065,0.30162652944335766
A1,GRINA,-0.038754590639164706,-0.10601535429681028,0.2809440831391251
A1,STARD10,-0.15009635587849454,-0.006688297609641489,0.344060954079503
A1,CTSB,0.14399924776192977,0.023468396644031622,0.19661053053731029
A1,TAGLN2,-0.4208576302790589,-0.22566933240010134,0.45711553782576303
A1,HLA-A,-0.06673691794618801,-0.11169122249755598,0.16615228248455577
A1,ASS1,-0.024927858530443908,0.061598512629347554,0.18586711427189778
A1,ATP5G2,0.010322513582039658,0.017824964933189035,0.13908023412758405
A1,H3F3B,0.027111916024001967,0.0027168855549209035,0.10868645706066098
A1,HLA-C,-0.11419679302100744,-0.16539695317999817,0.21055054934849526
A1,CD81,-0.010550453721747443,0.08952115910297476,0.1232836132170765
A1,ATG10,0.2767065030083412,0.15289696598963873,0.30611023257396386
A1,NBL1,0.04895200928137563,-0.06735858964681099,0.1090309322415636
A1,C1QB,-0.014612701716886972,-0.0731706177625417,0.08110003931253008
A1,SCD,0.43908622401228986,0.3186191504460851,0.44849511561933486
A1,PRDX2,-0.08915339754705259,-0.10240145257860789,0.1141835648088476
A1,SSR2,0.23339206375762253,0.20092483373933379,0.24429592555992927
A1,NDUFS6,0.050610506602133315,0.02684239973463489,0.1549994439034306
A1,CCND1,-0.05599312648869312,0.039337487323426616,0.11112882892227909
A1,SCAND1,0.08295358893822463,-0.006829813557747169,0.20553906435919525
A1,C12orf57,0.02623516102175626,0.169739970173187,0.2316431133663098
A1,ORMDL3,0.17736941600373465,0.06311738556043518,0.22503063878759416
A1,PTOV1,0.10513704784795813,-0.03584592439525177,0.17380151968691043
A1,XBP1,0.30724588196755437,0.22093400882196776,0.34339313993778964
A1,SEPW1,0.1648528130330954,0.044592803619867054,0.32098402916973745
A1,NUPR1,0.19269946135290053,0.04874981707535744,0.2084128565299458
A1,HLA-E,0.1294471563592018,0.19141225300225942,0.24543216820853275
A1,COPE,0.16242917369542964,0.21920629150062299,0.30995844064977157
A1,COX7C,0.2676731759856642,0.21207598795532948,0.3415094281829136
A1,ENG,0.14222478488691562,0.17051917279056097,0.21375087602915493
A1,SERINC2,-0.06537877598834867,-0.04404536152212745,0.14820456496551582
A1,GNB2,-0.030648395280791562,-0.09335034312328079,0.17399754435384399
A1,DBI,0.15454217365983428,0.11310247377913304,0.17304702075371214
A1,BCAP31,0.02888621031605705,0.00010929123369905252,0.0990484469377092
A1,TMSB4X,-0.011047007897032302,0.0007160644528718339,0.14232776023953503
A1,SQSTM1,0.13877610100505558,0.09946693571091207,0.2158055437434654
A1,PRRC2A,0.06217530169876351,0.09847094870305366,0.11060254396394299
A1,INTS1,-0.022200575173652023,-0.05967305355497323,0.24702654443218341
A1,SLC25A6,-0.17131672678860235,-0.1456129091077407,0.2785877603727874
A1,PTRF,0.11764973221443066,0.14136503593337776,0.21262034526020798
A1,LAPTM5,0.08316250751063324,0.1923928744029141,0.2155996479406027
A1,LUM,0.04665787811411405,-0.019739306456084467,0.0991011670230613
A1,MMP9,-0.1243129866944977,-0.09611898198458706,0.1351777351319261
A1,PLEC,0.08857753298336077,0.13227705421989827,0.1436778392481451
A1,TUBB,0.29441557796015183,0.25209136083347683,0.3671519873813064
A1,MRPL12,-0.06958786028380808,-0.10389268575200501,0.1944630438497586
A1,GUK1,-0.021804404230150103,0.013354677557763716,0.12943017334963963
A1,ACTN4,-0.008860581193333345,-0.1421424755340972,0.22016183177641946
A1,UQCRQ,0.23755472460041752,0.07484109394129605,0.3304822909956298
A1,ATP5B,0.25190921816898826,0.24884747378814273,0.25506219193749524
A1,CHCHD2,0.060711011377525104,0.1770127644711729,0.34749382750433083
A1,IFITM3,0.06487135780546653,0.12076146412178436,0.19563210983606902
A1,ROMO1,0.15635825231604303,0.026563462395193492,0.18068299433130358
A1,LRRC59,0.06782969328071028,-0.01987136429689476,0.11515366744530624
A1,EIF3G,-0.029994297396023755,0.03281357575660252,0.061387526430565845
A1,RABAC1,0.017377022308018793,0.14516151348130993,0.22552418139280925
A1,UBL5,0.1492297101988874,0.0499420380508569,0.23455239228220173
A1,GPX1,-0.08459004448572775,0.015004235471976815,0.1972625066668377
A1,ARHGDIA,0.020580090046295067,0.018285954318106205,0.10175038205462887
A1,LGALS3BP,-0.05123321967348294,-0.12032920787261772,0.1655696271950247
