tag,section,patient,n_lab,r_full,crg,drg_truelib,drg_truelib_poly3,iid_p95,iid_max,tor_n,tor_p95,tor_max,tor_sd,iid_sd
resnet50,A1,A,340,0.0436004677990891,0.0098039969535452,0.0023884776454199,-0.0001164636779773,0.0056910415481671,0.0132816491593363,200,0.0092992036135486,0.0116279160659661,0.0053707760394488,0.0036553383579132
resnet50,B1,B,268,0.210487837757659,0.0722889827390053,0.0067095027349664,0.0065265021449639,0.0070841645930121,0.0111718563726362,200,0.0084650573890218,0.0158147579111361,0.005116385915564,0.0039322489376426
resnet50,C1,C,165,0.1880987700872466,0.1367561375536969,0.0220111843125052,0.0023434566198324,0.0150014197058474,0.0210645925415865,195,0.0189943112238864,0.0274364777566128,0.0129497880884389,0.00833671760334
resnet50,D1,D,255,0.1058586460199269,0.0749027657161595,0.0321347098929113,0.0323102147520044,0.0097654981141888,0.0145222341843358,200,0.0094683843516113,0.0187325735115021,0.006945656891706,0.0057789589319518
resnet50,E1,E,534,0.0187208737863381,0.0103733807545972,0.009556695324486,0.0101321518775318,0.0052593987081642,0.0077553948037196,200,0.0085076373753963,0.0156142436086648,0.0050533777448795,0.0029511438440454
resnet50,F1,F,659,0.0156979551886056,0.0150405892271831,0.0113435502617716,0.0116553896589329,0.0045314039133993,0.0067191750405806,200,0.0060154190296655,0.0103003759637835,0.0043404439537807,0.0023905411616006
resnet50,G2,G,402,0.1515125912054512,0.0774257132748622,0.016175910139124,0.0171530512834966,0.0053422345001751,0.0091584933522907,200,0.00864894306808,0.0162139651792598,0.0053273690018435,0.0032161525937605
resnet50,H1,H,530,0.133372157392666,0.0355649993806683,0.0122397145219047,0.0120345183144049,0.0043146572268752,0.0068356116113111,200,0.0058520629468932,0.0102138358349974,0.0037066262902588,0.0028966853948103
phikon_p50,A1,A,340,0.0611324654268961,0.032637919192624,0.0113596604155493,0.0081018355657501,0.0057251195413437,0.013735204699726,200,0.0099639492313243,0.0135577747060323,0.0056361871402198,0.0038042808427797
phikon_p50,B1,B,268,0.2234645369219562,0.0812864904479356,0.0198770277474712,0.01871637205617,0.0067781642617627,0.0110518595892375,200,0.0100717831045087,0.0142147029240943,0.0063662441346195,0.0039593018720644
phikon_p50,C1,C,165,0.2349135821798108,0.179482644444037,0.0381975564807544,0.0216596903606621,0.0173418406176706,0.0306068322228656,195,0.0221221101564,0.0351886201560237,0.0143411673455166,0.0101169102211609
phikon_p50,D1,D,255,0.1408361193508761,0.0973144338607158,0.0425785567021942,0.0381785067725858,0.0111820553110219,0.0151542198854257,200,0.0125310825940094,0.021537299243582,0.0078494061180816,0.0058336251644246
phikon_p50,E1,E,534,0.0173818953303246,0.0041888850070643,0.0144655898541345,0.0140673042079488,0.0056603194677088,0.0080927009481178,200,0.008404471565439,0.0134639569606861,0.005218311444228,0.0030966826126709
phikon_p50,F1,F,659,0.0188349368955619,0.0174651965445239,0.0180098345895104,0.0178959706070616,0.0036704018366742,0.0068797244311036,200,0.0069561989236676,0.0092691563015043,0.0045175705136021,0.0023779537011696
phikon_p50,G2,G,402,0.1852216835738904,0.1066734593174192,0.0277495183525856,0.021920253903341,0.0064721834449705,0.0095246310604585,200,0.0079318623924967,0.012062109608952,0.0047363395080512,0.0035337043247521
phikon_p50,H1,H,530,0.1496092429431261,0.0508255021537084,0.0231937571468418,0.0227138307148141,0.0041653892297664,0.0064315867963674,200,0.0067430059113969,0.0117436333557767,0.0041146867490175,0.002720860015005
phikon_cat,A1,A,340,0.0729049076020646,0.0359117826858373,0.0103941259581059,0.0074955577920274,0.0062223603556418,0.011945398563401,200,0.0091685976391857,0.0141119403433644,0.0057775487430939,0.0038619295204596
phikon_cat,B1,B,268,0.2314435005272594,0.0773004831997141,0.0215435364236871,0.0234528334487388,0.0068145786891384,0.0097065461150271,200,0.0106522477218823,0.0143166573108309,0.0064150185403726,0.0040261766068296
phikon_cat,C1,C,165,0.2399279826472883,0.1837876138312493,0.0429543407551159,0.0290491741023798,0.0186901242124034,0.0263479250120733,195,0.0228842429041032,0.0410488253105302,0.0143496625653577,0.00976531016552
phikon_cat,D1,D,255,0.1375369075336803,0.096581212724073,0.0451698131071511,0.0405296932947722,0.0094596783011104,0.0170984829827863,200,0.0117618408435574,0.0245829560119121,0.0076970163526831,0.0057692411311631
phikon_cat,E1,E,534,0.0170027765976677,0.0045374737292121,0.0176624283915874,0.0175781693381141,0.005052663394047,0.0073155005929334,200,0.008473439168167,0.0149454829467365,0.00542542038373,0.0026910343964557
phikon_cat,F1,F,659,0.0166328557791661,0.0137184870884792,0.0157977161929876,0.0158583904675273,0.0041440285769045,0.0066882537246506,200,0.0069963380014837,0.0097112860886202,0.0046210324187973,0.0024456916588259
