panel,caliber,mean_r_foldavg,med_r_foldavg
hest_var50,cp10k_full,0.06865049448511648,0.07097140411258399
hest_var50,cp10k_panel,0.18588415041548673,0.19679558606161368
hest_var50,log1p_raw,0.24511254466321505,0.25515855817632327
trainHVG50,cp10k_full,0.05858663586979917,0.06295382868652859
trainHVG50,cp10k_panel,0.13213929065064192,0.1297673581440627
trainHVG50,log1p_raw,0.2171046278795652,0.20080016330728717
trainHVG737,cp10k_full,0.09372568902515982,0.09738254482408322
trainHVG737,cp10k_panel,0.1753658388880916,0.18672746475890492
trainHVG737,log1p_raw,0.33337267436394025,0.3264682391495108
