sample,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
ZEN36,hest_var50,cp10k_panel,0.5638936586945911,0.19168277523784355,0.1430886326257972,-0.04859414261204634,0
ZEN36,hest_var50,log1p_raw,0.5638936586945911,0.19168277523784355,0.20401888504067123,0.012336109802827677,0
ZEN36,trainHVG737,cp10k_panel,0.5638936586945911,0.19168277523784355,0.11423047796823219,-0.07745229726961136,0
ZEN36,trainHVG737,log1p_raw,0.5638936586945911,0.19168277523784355,0.25396466137369855,0.062281886135855,0
ZEN40,hest_var50,cp10k_panel,0.8775202612117963,0.2818050594132121,0.2398769778711892,-0.041928081542022905,0
ZEN40,hest_var50,log1p_raw,0.8775202612117963,0.2818050594132121,0.28147430085949926,-0.0003307585537128399,0
ZEN40,trainHVG737,cp10k_panel,0.8775202612117963,0.2818050594132121,0.1901422367261812,-0.09166282268703091,0
ZEN40,trainHVG737,log1p_raw,0.8775202612117963,0.2818050594132121,0.3162478301038251,0.03444277069061302,0
ZEN48,hest_var50,cp10k_panel,0.6475383859795965,0.21571853566647908,0.16107167635741781,-0.05464685930906127,0
ZEN48,hest_var50,log1p_raw,0.6475383859795965,0.21571853566647908,0.20557332740599643,-0.010145208260482652,0
ZEN48,trainHVG737,cp10k_panel,0.6475383859795965,0.21571853566647908,0.18046745317249302,-0.03525108249398606,0
ZEN48,trainHVG737,log1p_raw,0.6475383859795965,0.21571853566647908,0.3141752315321995,0.09845669586572042,0
ZEN49,hest_var50,cp10k_panel,0.5495359029556379,0.18755699721888397,0.14110457132622978,-0.04645242589265419,0
ZEN49,hest_var50,log1p_raw,0.5495359029556379,0.18755699721888397,0.18056989089103892,-0.00698710632784505,0
ZEN49,trainHVG737,cp10k_panel,0.5495359029556379,0.18755699721888397,0.15398478998501336,-0.03357220723387061,0
ZEN49,trainHVG737,log1p_raw,0.5495359029556379,0.18755699721888397,0.2990631747323255,0.11150617751344155,0
